UUID,ESCUELA,MODALIDAD,ANNIO_POSTULACION,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO_ORIGEN,DEPARTAMENTO_ORIGEN,PROVINCIA_ORIGEN,DISTRITO_ORIGEN,UBIGEO_IE,DEPARTAMENTO_IE,PROVINCIA_IE,DISTRITO_IE,EDAD,SEXO,PAGO,IDIOMA,LEE,ESCRIBE,HABLA,TIENE_DISCAPACIDAD,TIPO_COMUNIDAD,COMUNIDAD
eb33a3,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80108,CUSCO,CUSCO,WANCHAQ,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
41b65f,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
60d267,INGENIERÍA AGRONÓMICA TROPICAL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
28acbc,INGENIERÍA DE ALIMENTOS,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80902,CUSCO,LA CONVENCIÓN,ECHARATE,80902,CUSCO,LA CONVENCIÓN,ECHARATE,20,FEMENINO,200.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
38c971,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
ba802a,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
25fcdc,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,150135,LIMA,LIMA ,SAN MARTIN DE PORRES,150135,CUSCO,LA CONVENCIÓN,SANTA ANA,150135,CUSCO,LA CONVENCIÓN,SANTA ANA,21,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
874165,ECOTURISMO,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,19,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
62024a,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,170203,MADRE DE DIOS,MANU ,MADRE DE DIOS,170203,CUSCO,LA CONVENCIÓN,SANTA ANA,170203,CUSCO,LA CONVENCIÓN,SANTA ANA,20,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
0c1501,INGENIERÍA CIVIL,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,20,FEMENINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
52b926,ECOTURISMO,PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA,2020,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,80901,CUSCO,LA CONVENCIÓN,SANTA ANA,21,MASCULINO,250.0,Español,SI,NO,NO,NO,NINGUNA,NINGUNA
